a_exp,t_cou,t_des3,t_fee,p_fla,p_work
教师,南非,学术会议,学校经费,良好,食品科学与工程学院
教师,南非,学术会议,学校经费,优秀,食品科学与工程学院
院长,南非,学术会议,学校经费,优秀,食品科学与工程学院
教师,南非,学术会议,学校经费,优秀,食品科学与工程学院
学生,新加坡,学术会议,学院经费,良好,计算机科学与技术学院
教授,中国台湾,学术交流,科研经费,良好,威海校区
教授,英国,学术交流,学校经费,优秀,建筑学院
教授,英国,学术交流,学校经费,良好,建筑学院
教师,英国,学术交流,学校经费,良好,校本部机关
教师,美国,访问考察,学校经费,优秀,计算机科学与技术学院
教师,法国,学术交流,科研经费,良好,计算机科学与技术学院
教师,法国,学术交流,科研经费,良好,计算机科学与技术学院
教授,美国,学术会议,学校经费,良好,材料科学与工程学院
教师,美国,学术会议,学校经费,良好,材料科学与工程学院
教师,法国,访问学者,科研经费,优秀,计算机科学与技术学院
学生,日本,留学进修,境外邀请方,良好,土木工程学院
副教授,法国,合作研究,科研经费,良好,计算机科学与技术学院
学生,日本,学术会议,学校经费,优秀,电气工程及自动化学院
教授,德国,学术会议,科研经费,良好,材料科学与工程学院
,中国台湾,学术会议,科研经费,优秀,电气工程及自动化学院
教师,中国台湾,学术会议,科研经费,优秀,市政环境工程学院
教师,香港,访问考察,科研经费,优秀,土木工程学院
教授,英国,学术会议,科研经费,良好,机电工程学院
学生,中国香港,学术会议,科研经费,良好,土木工程学院
教师,香港,学术会议,科研经费,良好,理学院
教师,澳大利亚,学术会议,学院经费,优秀,经济与管理学院
,阿曼,访问考察,学校经费,优秀,校本部机关
教师,阿曼,访问考察,学校经费,良好,校本部机关
教授,葡萄牙,学术会议,科研经费,一般,航天学院
教授,澳大利亚,学术会议,学校经费,优秀,基础与交叉科学研究院
,越南,学术会议,学校经费,优秀,电子与信息工程学院
学生,日本,学术会议,学校经费,优秀,材料科学与工程学院
教师,西班牙，意大利，法国,学术交流,科研经费,优秀,能源科学与工程学院
教师,法国,学术交流,境外邀请方,良好,计算机科学与技术学院
教师,瑞士,合作研究,学校经费,良好,理学院
,中国台湾,访问考察,境外邀请方,优秀,交通科学与工程学院
,中国台湾,访问考察,境外邀请方,良好,校本部机关
教师,美国,学术会议,科研经费,一般,建筑学院
教授,美国,学术会议,学校经费,良好,材料科学与工程学院
学生,日本,学术会议,境外邀请方,良好,理学院
教师,澳大利亚,学术会议,学院经费,优秀,经济与管理学院
教师,澳大利亚,学术会议,学院经费,优秀,经济与管理学院
教师,澳大利亚,学术会议,学院经费,良好,经济与管理学院
教师,美国,学术交流,科研经费,优秀,基础与交叉科学研究院
教师,英国,学术会议,学校经费,优秀,土木工程学院
教授,越南,学术会议,学校经费,优秀,电子与信息工程学院
教师,马来西亚,学术会议,学校经费,优秀,机电工程学院
学生,英国,学术会议,学校经费,优秀,土木工程学院
学生,中国台湾,学术会议,科研经费,良好,航天学院
副教授,澳大利亚,学术会议,科研经费,良好,土木工程学院
教师,泰国,学术会议,科研经费,良好,机电工程学院
教师,泰国,学术会议,科研经费,良好,机电工程学院
,英国,学术会议,科研经费,优秀,机电工程学院
教师,中国台湾,学术会议,学校经费,优秀,航天学院
教师,中国台湾,学术会议,学校经费,优秀,航天学院
学生,日本,学术会议,科研经费,良好,材料科学与工程学院
教师,德国，法国，比利时，瑞士,合作研究,科研经费,良好,材料科学与工程学院
教师,德国，法国，比利时，瑞士,合作研究,科研经费,良好,材料科学与工程学院
教师,英国,学术会议,科研经费,优秀,机电工程学院
学生,日本,学术会议,学校经费,良好,材料科学与工程学院
教师,韩国,学术会议,科研经费,优秀,航天学院
教师,新加坡,学术会议,科研经费,优秀,建筑学院
教师,香港,学术交流,学校经费,优秀,市政环境工程学院
教师,香港,学术交流,学校经费,优秀,校本部机关
教师,香港,学术交流,学校经费,优秀,市政环境工程学院
教师,卡塔尔,学术会议,科研经费,优秀,计算机科学与技术学院
学生,中国台湾,学术会议,科研经费,良好,化工学院
教师,中国台湾,学术会议,科研经费,良好,化工学院
教师,巴基斯坦,留学进修,学校经费,良好,校本部机关
教师,中国台湾,学术会议,学校经费,良好,校本部机关
教师,法国,学术交流,境外邀请方,良好,计算机科学与技术学院
教师,意大利,学术会议,境外邀请方,优秀,食品科学与工程学院
教师,日本,合作研究,境外邀请方,优秀,化工学院
教授,美国,学术会议,科研经费,优秀,电气工程及自动化学院
教师,日本,学术会议,科研经费,优秀,计算机科学与技术学院
学生,中国台湾,访问考察,学校经费,良好,材料科学与工程学院
学生,中国台湾,访问考察,学校经费,一般,机电工程学院
,美国,访问考察,学校经费,良好,计算机科学与技术学院
,美国,访问考察,学校经费,良好,计算机科学与技术学院
教师,美国,访问考察,学校经费,良好,计算机科学与技术学院
,美国,学术会议,学校经费,良好,交通科学与工程学院
,美国,学术会议,学校经费,良好,交通科学与工程学院
教授,美国,学术会议,学校经费,优秀,交通科学与工程学院
,美国,学术会议,学校经费,良好,交通科学与工程学院
