教师,1,美国,学术会议,学校经费,男,已婚,优秀,机电工程学院
副教授,1,加拿大,学术会议,学校经费,男,已婚,优秀,航天学院
教授,1,中国香港,学术交流,境外邀请方,男,已婚,良好,土木工程学院
教师,1,中国香港,学术会议,科研经费,男,已婚,良好,机电工程学院
,,,,,男,未婚,良好,航天学院
,,,,,男,未婚,良好,航天学院
,,,,,男,未婚,良好,航天学院
学生,1,澳大利亚,访问考察,学校经费,男,未婚,良好,航天学院
,,,,,男,未婚,良好,航天学院
,,,,,男,未婚,良好,航天学院
教师,6,美国,访问考察,学校经费,女,未婚,优秀,校本部机关
,,,,,男,未婚,良好,航天学院
教师,,,,,男,未婚,良好,航天学院
教授,1,葡萄牙,学术会议,学校经费,男,已婚,优秀,土木工程学院
,,,,,男,未婚,良好,航天学院
教师,1,日本,学术会议,学校经费,男,已婚,优秀,材料科学与工程学院
,1,葡萄牙,学术会议,学校经费,男,未婚,良好,土木工程学院
教师,1,加拿大，美国,访问考察,科研经费,男,已婚,良好,土木工程学院
教授,1,新加坡,学术会议,科研经费,男,已婚,良好,机电工程学院
,1,韩国,学术会议,学校经费,男,已婚,优秀,基础与交叉科学研究院
教师,1,中国香港,访问考察,学校经费,男,已婚,优秀,校本部机关
,,,,,男,未婚,良好,航天学院
教师,1,日本,访问考察,学校经费,男,未婚,良好,校本部机关
教师,1,英国,访问考察,科研经费,男,已婚,优秀,航天学院
教师,1,美国,学术会议,科研经费,男,已婚,优秀,计算机科学与技术学院
,,,,,女,已婚,优秀,外国语学院
教师,,,,,女,已婚,优秀,外国语学院
教授,2,加拿大,学术会议,科研经费,男,已婚,优秀,能源科学与工程学院
教授,1,加拿大,学术会议,科研经费,男,已婚,优秀,能源科学与工程学院
,2,美国,学术会议,学校经费,男,已婚,良好,电子与信息工程学院
教授,2,美国,学术会议,学校经费,男,已婚,优秀,电子与信息工程学院
学生,2,澳大利亚,学术会议,学校经费,男,已婚,优秀,市政环境工程学院
学生,2,澳大利亚,学术会议,学校经费,女,未婚,良好,市政环境工程学院
教师,2,德国,访问考察,科研经费,男,已婚,良好,机电工程学院
教师,2,德国,访问考察,科研经费,男,已婚,良好,机电工程学院
学生,2,澳大利亚,学术会议,学校经费,女,未婚,良好,市政环境工程学院
教师,1,美国,访问考察,学校经费,女,已婚,良好,计算机科学与技术学院
教师,1,美国,学术会议,学校经费,男,已婚,优秀,食品科学与工程学院
副教授,3,巴西，智利,访问考察,学校经费,男,已婚,优秀,校本部机关
教授,3,巴西，智利,访问考察,学校经费,男,已婚,良好,校本部机关
,3,巴西，智利,访问考察,学校经费,女,已婚,优秀,校本部机关
,1,新加坡,学术会议,科研经费,男,已婚,良好,机电工程学院
教师,5,美国,学术会议,学校经费,女,已婚,良好,理学院
教师,5,美国,学术会议,学校经费,男,已婚,良好,理学院
,5,美国,学术会议,学校经费,女,未婚,良好,经济与管理学院
,5,美国,学术会议,学校经费,男,未婚,良好,理学院
教师,5,美国,学术会议,学校经费,男,已婚,优秀,理学院
学生,1,美国,留学进修,科研经费,男,未婚,优秀,理学院
学生,4,美国,学术会议,科研经费,男,未婚,良好,市政环境工程学院
学生,4,美国,学术会议,科研经费,男,未婚,良好,市政环境工程学院
教师,4,美国,学术会议,科研经费,男,已婚,良好,市政环境工程学院
教师,1,澳大利亚,学术会议,科研经费,女,已婚,优秀,化工学院
,1,澳大利亚,学术会议,科研经费,女,已婚,优秀,化工学院
教授,2,美国,学术会议,科研经费,男,已婚,优秀,计算机科学与技术学院
教授,2,美国,学术会议,科研经费,女,已婚,优秀,计算机科学与技术学院
教师,1,德国,学术会议,学校经费,男,已婚,良好,航天学院
,1,俄罗斯,合作研究,学校经费,男,已婚,优秀,航天学院
教师,1,爱尔兰,访问考察,境外邀请方,男,已婚,良好,计算机科学与技术学院
教师,1,美国,学术会议,科研经费,女,已婚,优秀,化工学院
院长,8,荷兰，瑞典，法国,学术交流,学院经费,男,已婚,优秀,软件学院
教师,1,德国,学术交流,境外邀请方,男,已婚,良好,机电工程学院
教授,1,印度,学术会议,科研经费,男,已婚,优秀,航天学院
教授,1,加拿大,合作研究,学校经费,男,未婚,良好,校本部机关
教师,2,美国,学术会议,学校经费,男,已婚,优秀,航天学院
教师,2,美国,学术会议,学校经费,女,已婚,优秀,化工学院
教师,1,美国,访问考察,学校经费,男,已婚,良好,土木工程学院
学生,2,美国,学术会议,科研经费,男,已婚,良好,计算机科学与技术学院
学生,2,美国,学术会议,科研经费,女,未婚,良好,计算机科学与技术学院
教师,3,德国,学术会议,科研经费,男,已婚,良好,土木工程学院
教师,3,德国,学术会议,科研经费,男,已婚,优秀,土木工程学院
教师,3,德国,学术会议,科研经费,女,已婚,优秀,土木工程学院
副教授,1,美国,合作研究,科研经费,女,已婚,优秀,基础与交叉科学研究院
教授,1,美国,合作研究,科研经费,男,已婚,优秀,基础与交叉科学研究院
教师,3,日本,访问考察,学校经费,女,已婚,优秀,校本部机关
,3,日本,访问考察,学校经费,女,已婚,一般,校本部机关
,3,日本,访问考察,学校经费,女,已婚,一般,校本部机关
教师,1,德国,实习培训,学校经费,男,已婚,良好,人文与社会科学学院
教师,1,阿尔及利亚,访问考察,学校经费,女,已婚,优秀,校本部机关
教授,1,加拿大，俄罗斯,访问考察,学院经费,男,已婚,优秀,航天学院
教师,3,美国,学术会议,科研经费,男,已婚,良好,机电工程学院
教师,3,美国,学术会议,科研经费,男,已婚,良好,机电工程学院
教师,3,美国,学术会议,科研经费,男,已婚,良好,机电工程学院
院长,20,中国香港,实习培训,境外邀请方,男,已婚,良好,航天学院
,5,韩国,学术交流,学校经费,男,已婚,优秀,市政环境工程学院
,5,韩国,学术交流,学校经费,女,已婚,良好,生命科学与技术学院
,5,韩国,学术交流,学校经费,男,已婚,良好,市政环境工程学院
